ID,class,nfp,S_phi,C,lambda_phi,reversal_frac
2336187,QH,2,0.7793,0.9196,0.8529,0.0000
2337233,QH,2,0.7828,0.9213,0.8552,0.0000
759978,QA,2,0.7950,0.9287,0.8633,0.0000
157482,QA,1,0.8186,0.9372,0.8790,0.0000
151569,QA,1,0.8186,0.9369,0.8791,0.0000
134424,QA,1,0.8243,0.9394,0.8828,0.0000
134412,QA,1,0.8295,0.9407,0.8863,0.0000
124998,QA,1,0.8300,0.9406,0.8867,0.0000
115887,QA,1,0.8322,0.9424,0.8882,0.0000
105477,QA,1,0.8401,0.9451,0.8934,0.0000
608085,QA,2,0.8406,0.9454,0.8937,0.0000
58823,QA,3,0.8437,0.9463,0.8958,0.0000
644261,QA,3,0.8512,0.9492,0.9008,0.0000
652242,QA,3,0.8556,0.9502,0.9037,0.0000
2300846,QH,2,0.8669,0.9536,0.9113,0.0000
597805,QA,2,0.8791,0.9581,0.9194,0.0000
215582,QA,3,0.8921,0.9637,0.9281,0.0000
198168,QA,2,0.8930,0.9637,0.9287,0.0000
258204,QA,5,0.9590,0.9863,0.9727,0.0000
257245,QA,5,0.9672,0.9890,0.9781,0.0000
211891,QA,3,0.9673,0.9893,0.9782,0.0000
239373,QA,4,0.9728,0.9910,0.9818,0.0000
221574,QA,3,0.9748,0.9920,0.9832,0.0000
933682,QA,3,0.9902,0.9968,0.9935,0.0000
829354,QA,4,0.9950,0.9984,0.9967,0.0000
671798,QA,4,0.9957,0.9986,0.9971,0.0000
828017,QA,4,0.9985,0.9995,0.9990,0.0000
828430,QA,4,0.9986,0.9996,0.9991,0.0000
948683,QA,4,0.9988,0.9996,0.9992,0.0000
1081582,QA,3,0.9989,0.9997,0.9992,0.0000
243440,QA,4,0.9990,0.9997,0.9994,0.0000
948921,QA,4,0.9991,0.9997,0.9994,0.0000
828207,QA,4,0.9995,0.9998,0.9996,0.0000
