ID,class,nfp,qs_error,aspect_ratio,mean_iota
252393,QA,5,-2.2733,10.000,0.2
260277,QA,5,-1.2756,5.001,0.9
254453,QA,5,-1.2987,5.001,0.4
258461,QA,5,-2.0099,20.000,0.8
255378,QA,5,-1.1084,4.002,0.5
255357,QA,5,-1.0581,4.003,0.5
254241,QA,5,-1.8266,10.000,0.4
2262053,QH,2,-3.8855,24.000,0.93
2263414,QH,2,-4.3468,24.000,0.98
2116450,QH,2,-3.8377,24.000,1.3
1826834,QH,2,-4.3177,24.000,1.4
2158593,QH,2,-3.7270,12.000,1.1
2115647,QH,2,-3.7566,24.000,1.1
2258826,QH,2,-3.3447,24.000,0.9
1577073,QH,2,-3.2694,12.000,1.1
2328994,QH,2,-3.3963,8.000,0.97
2116476,QH,2,-3.4824,24.000,1.3
2291244,QH,2,-3.5967,12.000,0.96
2158036,QH,2,-3.3722,12.000,0.9
2147191,QH,2,-2.5966,12.000,0.9
1470331,QH,2,-2.9021,8.000,1.1
2151635,QH,2,-3.0487,12.000,1.2
2300745,QH,2,-2.9671,12.000,0.99
2362839,QH,2,-2.7601,6.000,0.96
1755224,QH,2,-2.9699,8.000,1.2
2292778,QH,2,-2.4935,12.000,0.97
1793879,QH,2,-2.3096,6.000,1.1
1545207,QH,2,-2.5771,24.001,1.4
1758284,QH,2,-2.5027,8.000,1.1
2187239,QH,2,-2.3154,8.000,1.2
2502284,QH,2,-2.5928,6.000,1.1
2332502,QH,2,-1.8392,8.000,0.92
2324964,QH,2,-1.9474,8.000,0.94
2327106,QH,2,-1.8601,8.000,0.96
2362093,QH,2,-2.0512,6.000,0.95
2186497,QH,2,-1.9553,8.000,1.0
2328973,QH,2,-2.0425,8.000,0.97
1907475,QH,3,-3.7150,8.000,1.3
1841479,QH,3,-3.7925,24.000,2.1
1836693,QH,3,-3.6963,24.000,1.5
1444558,QH,3,-3.7717,12.000,1.2
1697632,QH,3,-4.3028,24.000,1.3
1406183,QH,3,-4.2300,24.000,1.2
1872066,QH,3,-3.5242,12.000,1.4
