ID,class,nfp,qs_error,aspect_ratio
1634383,QH,4,-3.0675,8.000
1808415,QH,4,-3.0798,6.000
1636764,QH,4,-2.6436,8.000
1638334,QH,4,-2.7202,8.000
1812014,QH,4,-2.3684,6.000
1602683,QH,4,-2.6851,12.000
2524693,QH,4,-2.7833,6.000
2618848,QH,4,-2.2076,8.000
1673209,QH,4,-1.8708,6.000
1815730,QH,4,-2.1564,6.000
1781441,QH,4,-2.0363,8.000
1637934,QH,4,-2.1428,8.000
1922442,QH,4,-2.0699,8.000
1673650,QH,4,-1.6137,6.000
2655207,QH,4,-1.8441,6.000
2527522,QH,4,-1.4678,6.000
1813978,QH,4,-1.8403,6.000
2458948,QH,5,-3.3604,12.000
1750128,QH,5,-3.5928,12.000
1608172,QH,5,-3.7564,12.000
2461443,QH,5,-2.9893,12.000
1608753,QH,5,-3.1257,12.000
1750315,QH,5,-3.2496,12.000
1607779,QH,5,-3.1199,12.000
1644752,QH,5,-3.0965,8.000
1928010,QH,5,-2.4499,8.000
1749731,QH,5,-2.6271,12.000
1783322,QH,5,-2.4754,8.000
1645920,QH,5,-2.7759,8.000
2499048,QH,5,-2.0327,8.000
1646848,QH,5,-2.2458,8.000
1783216,QH,5,-2.1596,8.000
1681285,QH,5,-2.1668,6.000
1682009,QH,5,-2.3361,6.000
1925429,QH,5,-1.8655,8.001
1642805,QH,5,-2.3549,8.000
1640084,QH,5,-1.4550,8.004
2006736,QH,6,-3.0034,12.000
2011187,QH,6,-3.2400,12.000
2004983,QH,6,-2.3993,12.000
2010840,QH,6,-2.5479,12.000
2010546,QH,6,-2.7059,12.000
2041816,QH,6,-2.2741,8.000
2048668,QH,6,-2.3398,8.000
2045775,QH,6,-2.3562,8.000
2041455,QH,6,-2.0041,8.000
2048067,QH,6,-1.2790,8.000
2044746,QH,6,-1.4752,8.000
2718777,QH,6,-1.8008,12.000
