ID,nfp,iota,aspect,elongation,mean_elongation,curvature,msc,qs_type,nc_per_hp,n_coils,d_min_over_a,d_min_over_R0,nonplanarity,nonplanarity_max,point_gini,point_pr_over_n,coil_peak,coil_gini,coil_pr_over_n
1007,2.0,0.1,2.8569763305,7.0662665956,2.9476290452,3.9822875046,2.2169936783,0.0,1.0,4,0.8076877839179024,0.2759537998959149,0.19954843811186587,0.1995484381118659,0.40195662352777983,0.3146245250281122,3.212517140643635,9.076105241373159e-17,0.9999999999999998
11357,2.0,0.2,4.9999955401,3.3480314394,2.1345797719,4.5938300449,5.000001982,0.0,2.0,8,1.7500918972605768,0.34863981022446716,0.31729365382353025,0.35490143171570665,0.29733914247458026,0.4348650513538149,2.5863439553022407,0.058618766399710226,0.9492188485375791
24285,2.0,0.5,6.6666665383,4.9497160044,3.4790270284,4.9996487296,4.9152688535,0.0,3.0,12,2.0592304095752714,0.3092171571888582,0.23320984446269752,0.30097182692337315,0.39945572961059306,0.29609792404304824,3.5530596893400865,0.07333546297592673,0.9352188513883787
45395,3.0,0.5,19.9999550707,3.1735030413,2.5930756736,4.599552053,4.3928560263,0.0,1.0,6,7.014047058419554,0.35018614940117904,0.31913228307873,0.3191322830787301,0.3561652538539051,0.36121977176814574,2.7768090656461326,3.194625422091134e-17,1.0000000000000002
52035,3.0,0.3,4.0000587355,2.7420930935,2.1344922406,3.7434554002,5.0000524003,0.0,2.0,12,0.6536886803956709,0.153725781811096,0.15398844256583996,0.15512692024388733,0.20963858568644295,0.6371847233521462,1.925262633488747,0.0387204171252554,0.9768456527361269
59509,3.0,0.1,6.6666832285,1.5448806107,1.4406890475,3.9639059226,4.9880315351,0.0,3.0,18,0.6469324418118982,0.09704011012380927,0.15210787060470374,0.22928461956865553,0.3244786976454714,0.34508758442202797,3.0024677167980296,0.08776446015638517,0.8763352852024899
66633,4.0,0.2,20.0000021445,2.2547453447,1.7759667969,4.3259335473,5.0000013896,0.0,1.0,8,5.868958082689957,0.29313144690901993,0.31259270212954027,0.3125927021295404,0.25626609862079347,0.5353966426381851,2.1108103519868666,5.014908797773073e-17,1.0000000000000002
79030,4.0,0.6,20.0010483967,5.675908488,3.5660570188,4.9999946104,5.00000557,0.0,2.0,16,3.1103677632115505,0.15517108076476527,0.23494338761561495,0.33667670890060303,0.3794558980861235,0.3003972917892535,3.215606017547198,0.017644568048901785,0.9950556589750564
104435,1.0,0.2,6.6666660107,2.2399228452,1.9225430493,4.373862652,4.9998467249,0.0,3.0,6,2.2300046936151934,0.3307131184989877,0.34818733923995904,0.4042301434215275,0.3441276449655437,0.35592802985462435,3.1100188938988222,0.009953308516179047,0.9984644566347728
112734,1.0,0.1,2.857142146,3.3665509252,2.3307104465,4.6852823606,3.2114264169,0.0,4.0,8,0.8522680822005522,0.2881655577974262,0.11532974914401309,0.12303190742243957,0.36835407712404783,0.37048595895123826,2.732795257763837,0.00957815206694197,0.9986321131160508
114547,1.0,0.3,2.8574929758,3.6924919082,2.5307043949,4.9998919402,5.000039564,0.0,4.0,8,0.5313906496994631,0.18261664365855987,0.15214664497400374,0.20335792977873493,0.31521940054561093,0.5088684945177333,2.3486343665990947,0.13663579976603296,0.8346478891187783
