ID,class,nfp,aspect,d_min_over_a,gap_m_ARIESCS,blanket_fit_1.29m,blanket_fit_1.0m
932746,QA,3,5.000,0.5006,0.853,0,0
939367,QA,4,6.667,1.1874,2.023,1,1
941045,QA,4,20.000,6.1569,10.491,1,1
948374,QA,4,20.000,2.5366,4.322,1,1
948619,QA,4,20.000,2.5205,4.295,1,1
952490,QA,4,20.000,3.7192,6.338,1,1
955983,QA,4,20.000,3.5433,6.038,1,1
1000272,QA,2,20.001,7.0233,11.968,1,1
1035368,QA,2,3.333,1.2096,2.061,1,1
1042101,QA,2,4.000,0.9293,1.583,1,1
1042638,QA,2,6.667,2.3072,3.931,1,1
1051091,QA,2,2.857,0.8380,1.428,1,1
1052272,QA,2,4.000,1.2153,2.071,1,1
1060080,QA,2,20.000,4.4917,7.654,1,1
1075299,QA,3,10.000,2.8908,4.926,1,1
1077221,QA,3,3.332,0.7578,1.291,1,1
1081587,QA,3,5.000,0.8676,1.478,1,1
1081620,QA,3,10.000,2.4833,4.232,1,1
1090019,QA,3,20.000,5.3126,9.053,1,1
1090727,QA,3,10.000,1.8448,3.144,1,1
1090831,QA,3,20.000,3.6732,6.259,1,1
1090990,QA,3,3.333,0.3083,0.525,0,0
1095472,QA,3,20.000,6.0289,10.273,1,1
1096180,QA,3,10.000,1.4666,2.499,1,1
1097975,QA,4,4.000,0.6346,1.081,0,1
1102493,QA,4,20.000,4.6260,7.883,1,1
1102647,QA,4,20.000,4.5638,7.777,1,1
1104005,QA,4,20.000,4.1224,7.025,1,1
1106084,QA,4,20.000,4.3737,7.453,1,1
1107841,QA,4,20.001,4.3576,7.425,1,1
1107995,QA,4,20.000,4.6262,7.883,1,1
1109675,QA,4,20.000,6.0146,10.249,1,1
1121685,QH,5,20.000,2.9941,5.102,1,1
1190023,QH,4,6.417,0.6067,1.034,0,1
1257819,QH,4,24.000,5.4478,9.283,1,1
1259243,QH,4,24.000,5.3184,9.063,1,1
1266029,QH,3,24.000,6.5434,11.150,1,1
1295205,QH,4,12.000,1.8514,3.155,1,1
1328722,QH,4,8.000,1.1756,2.003,1,1
1331217,QH,4,8.000,1.1888,2.026,1,1
1331857,QH,4,8.000,1.1846,2.018,1,1
1333420,QH,3,8.000,1.1331,1.931,1,1
1335098,QH,3,8.003,1.1373,1.938,1,1
1406183,QH,3,24.000,4.2217,7.194,1,1
1444558,QH,3,12.000,2.4076,4.103,1,1
1445098,QH,3,12.000,1.9938,3.397,1,1
1445211,QH,3,12.002,1.8299,3.118,1,1
1470331,QH,2,8.000,1.1862,2.021,1,1
1486742,QH,3,8.000,1.6554,2.821,1,1
1517956,QH,3,6.000,0.6958,1.186,0,1
1545207,QH,2,24.001,4.5751,7.796,1,1
1567468,QH,4,24.000,5.4253,9.245,1,1
1569016,QH,5,24.000,3.6255,6.178,1,1
1571526,QH,5,24.000,3.5570,6.061,1,1
1574333,QH,5,24.000,3.6887,6.286,1,1
