phi_deg,phi_idx,layer,theta_idx,R_cm,Z_cm
90.000,24,coil_outer,27,-41.5329,-51.7666
90.000,24,coil_outer,28,-45.9899,-40.9558
90.000,24,coil_outer,29,-49.2592,-30.2839
90.000,24,coil_outer,30,-51.4457,-19.9177
90.000,24,coil_outer,31,-52.6858,-9.8639
90.000,24,coil_outer,32,-53.0859,-0.0000
90.000,24,coil_outer,33,-52.6858,9.8639
90.000,24,coil_outer,34,-51.4457,19.9177
90.000,24,coil_outer,35,-49.2592,30.2839
90.000,24,coil_outer,36,-45.9899,40.9558
90.000,24,coil_outer,37,-41.5329,51.7666
90.000,24,coil_outer,38,-35.8765,62.4185
90.000,24,coil_outer,39,-29.1307,72.5661
90.000,24,coil_outer,40,-21.5082,81.9106
90.000,24,coil_outer,41,-13.2736,90.2574
90.000,24,coil_outer,42,-4.6902,97.5273
90.000,24,coil_outer,43,4.0179,103.7362
90.000,24,coil_outer,44,12.6848,108.9646
90.000,24,coil_outer,45,21.2090,113.3272
90.000,24,coil_outer,46,29.5505,116.9501
90.000,24,coil_outer,47,37.7244,119.9542
90.000,24,coil_outer,48,45.7961,122.4447
90.000,24,coil_outer,49,53.8779,124.5042
90.000,24,coil_outer,50,62.1307,126.1863
90.000,24,coil_outer,51,70.7681,127.5063
90.000,24,coil_outer,52,80.0606,128.4247
90.000,24,coil_outer,53,90.3345,128.8201
90.000,24,coil_outer,54,101.9518,128.4467
90.000,24,coil_outer,55,115.2496,126.8815
90.000,24,coil_outer,56,130.4092,123.4859
90.000,24,coil_outer,57,147.2438,117.4506
90.000,24,coil_outer,58,164.9786,108.0138
90.000,24,coil_outer,59,182.2407,94.8566
90.000,24,coil_outer,60,197.4531,78.4162
90.000,24,coil_outer,61,209.4487,59.7557
90.000,24,coil_outer,62,217.7936,40.0297
90.000,24,coil_outer,63,222.6094,20.0135
135.000,36,LCFS,0,119.2070,9.1501
135.000,36,LCFS,1,120.2373,6.6709
135.000,36,LCFS,2,121.0573,4.2388
135.000,36,LCFS,3,121.6684,1.8884
135.000,36,LCFS,4,122.0712,-0.3417
135.000,36,LCFS,5,122.2658,-2.4099
135.000,36,LCFS,6,122.2532,-4.2730
135.000,36,LCFS,7,122.0366,-5.8885
135.000,36,LCFS,8,121.6212,-7.2180
135.000,36,LCFS,9,121.0150,-8.2302
135.000,36,LCFS,10,120.2276,-8.9035
135.000,36,LCFS,11,119.2698,-9.2275
135.000,36,LCFS,12,118.1526,-9.2043
135.000,36,LCFS,13,116.8865,-8.8476
135.000,36,LCFS,14,115.4808,-8.1817
135.000,36,LCFS,15,113.9447,-7.2389
135.000,36,LCFS,16,112.2871,-6.0578
135.000,36,LCFS,17,110.5182,-4.6799
135.000,36,LCFS,18,108.6499,-3.1478
135.000,36,LCFS,19,106.6967,-1.5028
135.000,36,LCFS,20,104.6756,0.2167
135.000,36,LCFS,21,102.6060,1.9765
135.000,36,LCFS,22,100.5084,3.7474
135.000,36,LCFS,23,98.4038,5.5055
135.000,36,LCFS,24,96.3127,7.2326
135.000,36,LCFS,25,94.2545,8.9154
135.000,36,LCFS,26,92.2469,10.5449
135.000,36,LCFS,27,90.3064,12.1154
135.000,36,LCFS,28,88.4481,13.6235
135.000,36,LCFS,29,86.6857,15.0668
135.000,36,LCFS,30,85.0319,16.4437
135.000,36,LCFS,31,83.4974,17.7530
135.000,36,LCFS,32,82.0906,18.9945
135.000,36,LCFS,33,80.8170,20.1692
135.000,36,LCFS,34,79.6788,21.2803
135.000,36,LCFS,35,78.6754,22.3333
135.000,36,LCFS,36,77.8047,23.3363
135.000,36,LCFS,37,77.0645,24.2988
135.000,36,LCFS,38,76.4553,25.2308
135.000,36,LCFS,39,75.9825,26.1410
135.000,36,LCFS,40,75.6583,27.0348
135.000,36,LCFS,41,75.5026,27.9132
135.000,36,LCFS,42,75.5424,28.7716
135.000,36,LCFS,43,75.8100,29.5990
135.000,36,LCFS,44,76.3395,30.3787
135.000,36,LCFS,45,77.1624,31.0891
135.000,36,LCFS,46,78.3033,31.7041
135.000,36,LCFS,47,79.7757,32.1952
135.000,36,LCFS,48,81.5786,32.5329
135.000,36,LCFS,49,83.6948,32.6881
135.000,36,LCFS,50,86.0912,32.6340
135.000,36,LCFS,51,88.7205,32.3478
135.000,36,LCFS,52,91.5242,31.8122
135.000,36,LCFS,53,94.4370,31.0167
135.000,36,LCFS,54,97.3915,29.9590
135.000,36,LCFS,55,100.3224,28.6450
135.000,36,LCFS,56,103.1708,27.0888
135.000,36,LCFS,57,105.8871,25.3116
135.000,36,LCFS,58,108.4323,23.3400
135.000,36,LCFS,59,110.7791,21.2043
135.000,36,LCFS,60,112.9105,18.9361
135.000,36,LCFS,61,114.8186,16.5669
135.000,36,LCFS,62,116.5020,14.1269
135.000,36,LCFS,63,117.9633,11.6452
135.000,36,plasma_edge,0,123.7543,11.2290
135.000,36,plasma_edge,1,124.9162,8.4336
135.000,36,plasma_edge,2,125.8474,5.6722
135.000,36,plasma_edge,3,126.5503,2.9690
135.000,36,plasma_edge,4,127.0236,0.3465
135.000,36,plasma_edge,5,127.2604,-2.1787
135.000,36,plasma_edge,6,127.2424,-4.6017
135.000,36,plasma_edge,7,126.9253,-6.9376
135.000,36,plasma_edge,8,126.2041,-9.2173
135.000,36,plasma_edge,9,124.8683,-11.4164
135.000,36,plasma_edge,10,122.7084,-13.2446
135.000,36,plasma_edge,11,119.9872,-14.1758
135.000,36,plasma_edge,12,117.3656,-14.1420
135.000,36,plasma_edge,13,115.0991,-13.5173
135.000,36,plasma_edge,14,113.0818,-12.5686
135.000,36,plasma_edge,15,111.1759,-11.4023
135.000,36,plasma_edge,16,109.2953,-10.0639
135.000,36,plasma_edge,17,107.3946,-8.5842
135.000,36,plasma_edge,18,105.4534,-6.9926
135.000,36,plasma_edge,19,103.4660,-5.3189
135.000,36,plasma_edge,20,101.4362,-3.5919
135.000,36,plasma_edge,21,99.3739,-1.8384
135.000,36,plasma_edge,22,97.2929,-0.0815
135.000,36,plasma_edge,23,95.2089,1.6594
135.000,36,plasma_edge,24,93.1382,3.3697
135.000,36,plasma_edge,25,91.0964,5.0389
135.000,36,plasma_edge,26,89.0986,6.6606
135.000,36,plasma_edge,27,87.1584,8.2308
135.000,36,plasma_edge,28,85.2890,9.7479
135.000,36,plasma_edge,29,83.5026,11.2109
135.000,36,plasma_edge,30,81.8103,12.6199
135.000,36,plasma_edge,31,80.2215,13.9757
135.000,36,plasma_edge,32,78.7429,15.2807
135.000,36,plasma_edge,33,77.3776,16.5401
135.000,36,plasma_edge,34,76.1248,17.7633
135.000,36,plasma_edge,35,74.9802,18.9650
135.000,36,plasma_edge,36,73.9376,20.1668
135.000,36,plasma_edge,37,72.9919,21.3981
135.000,36,plasma_edge,38,72.1439,22.6986
135.000,36,plasma_edge,39,71.4089,24.1204
135.000,36,plasma_edge,40,70.8321,25.7279
135.000,36,plasma_edge,41,70.5136,27.5804
135.000,36,plasma_edge,42,70.6235,29.6687
135.000,36,plasma_edge,43,71.3306,31.8205
135.000,36,plasma_edge,44,72.6369,33.7390
135.000,36,plasma_edge,45,74.3654,35.2336
135.000,36,plasma_edge,46,76.3545,36.3086
135.000,36,plasma_edge,47,78.5491,37.0424
135.000,36,plasma_edge,48,80.9547,37.4938
135.000,36,plasma_edge,49,83.5827,37.6868
135.000,36,plasma_edge,50,86.4289,37.6226
135.000,36,plasma_edge,51,89.4683,37.2916
135.000,36,plasma_edge,52,92.6581,36.6819
135.000,36,plasma_edge,53,95.9429,35.7846
135.000,36,plasma_edge,54,99.2603,34.5966
135.000,36,plasma_edge,55,102.5464,33.1232
135.000,36,plasma_edge,56,105.7403,31.3781
135.000,36,plasma_edge,57,108.7884,29.3837
135.000,36,plasma_edge,58,111.6474,27.1693
135.000,36,plasma_edge,59,114.2849,24.7692
135.000,36,plasma_edge,60,116.6807,22.2202
135.000,36,plasma_edge,61,118.8248,19.5586
135.000,36,plasma_edge,62,120.7153,16.8190
135.000,36,plasma_edge,63,122.3563,14.0329
135.000,36,W_outer,0,123.9362,11.3121
135.000,36,W_outer,1,125.1034,8.5042
135.000,36,W_outer,2,126.0390,5.7295
135.000,36,W_outer,3,126.7455,3.0123
135.000,36,W_outer,4,127.2217,0.3740
135.000,36,W_outer,5,127.4602,-2.1695
135.000,36,W_outer,6,127.4420,-4.6149
135.000,36,W_outer,7,127.1208,-6.9795
135.000,36,W_outer,8,126.3874,-9.2973
135.000,36,W_outer,9,125.0225,-11.5438
135.000,36,W_outer,10,122.8076,-13.4183
135.000,36,W_outer,11,120.0159,-14.3737
135.000,36,W_outer,12,117.3341,-14.3395
135.000,36,W_outer,13,115.0276,-13.7041
135.000,36,W_outer,14,112.9859,-12.7440
135.000,36,W_outer,15,111.0652,-11.5689
135.000,36,W_outer,16,109.1756,-10.2241
135.000,36,W_outer,17,107.2696,-8.7403
135.000,36,W_outer,18,105.3256,-7.1464
135.000,36,W_outer,19,103.3368,-5.4716
135.000,36,W_outer,20,101.3066,-3.7443
135.000,36,W_outer,21,99.2446,-1.9910
135.000,36,W_outer,22,97.1642,-0.2347
135.000,36,W_outer,23,95.0811,1.5055
135.000,36,W_outer,24,93.0112,3.2151
135.000,36,W_outer,25,90.9701,4.8839
135.000,36,W_outer,26,88.9726,6.5052
135.000,36,W_outer,27,87.0325,8.0755
135.000,36,W_outer,28,85.1626,9.5929
135.000,36,W_outer,29,83.3752,11.0567
135.000,36,W_outer,30,81.6814,12.4670
135.000,36,W_outer,31,80.0905,13.8246
135.000,36,W_outer,32,78.6090,15.1321
135.000,36,W_outer,33,77.2400,16.3949
135.000,36,W_outer,34,75.9826,17.6226
135.000,36,W_outer,35,74.8324,18.8303
135.000,36,W_outer,36,73.7829,20.0400
135.000,36,W_outer,37,72.8290,21.2821
135.000,36,W_outer,38,71.9715,22.5973
135.000,36,W_outer,39,71.2260,24.0396
135.000,36,W_outer,40,70.6390,25.6756
135.000,36,W_outer,41,70.3141,27.5670
135.000,36,W_outer,42,70.4268,29.7046
135.000,36,W_outer,43,71.1514,31.9093
135.000,36,W_outer,44,72.4888,33.8734
135.000,36,W_outer,45,74.2536,35.3994
135.000,36,W_outer,46,76.2765,36.4928
135.000,36,W_outer,47,78.5001,37.2363
135.000,36,W_outer,48,80.9297,37.6922
135.000,36,W_outer,49,83.5783,37.8868
135.000,36,W_outer,50,86.4425,37.8221
135.000,36,W_outer,51,89.4982,37.4893
135.000,36,W_outer,52,92.7034,36.8767
135.000,36,W_outer,53,96.0031,35.9753
135.000,36,W_outer,54,99.3351,34.7821
135.000,36,W_outer,55,102.6353,33.3023
135.000,36,W_outer,56,105.8430,31.5497
135.000,36,W_outer,57,108.9045,29.5465
135.000,36,W_outer,58,111.7760,27.3225
135.000,36,W_outer,59,114.4252,24.9118
135.000,36,W_outer,60,116.8315,22.3516
135.000,36,W_outer,61,118.9850,19.6783
135.000,36,W_outer,62,120.8839,16.9267
135.000,36,W_outer,63,122.5320,14.1284
135.000,36,steel_outer,0,127.3922,12.8920
135.000,36,steel_outer,1,128.6594,9.8438
135.000,36,steel_outer,2,129.6795,6.8190
135.000,36,steel_outer,3,130.4557,3.8335
135.000,36,steel_outer,4,130.9855,0.8970
135.000,36,steel_outer,5,131.2561,-1.9937
135.000,36,steel_outer,6,131.2337,-4.8647
135.000,36,steel_outer,7,130.8362,-7.7769
135.000,36,steel_outer,8,129.8704,-10.8167
135.000,36,steel_outer,9,127.9510,-13.9653
135.000,36,steel_outer,10,124.6930,-16.7176
135.000,36,steel_outer,11,120.5611,-18.1344
135.000,36,steel_outer,12,116.7360,-18.0921
135.000,36,steel_outer,13,113.6692,-17.2530
135.000,36,steel_outer,14,111.1627,-16.0781
135.000,36,steel_outer,15,108.9609,-14.7331
135.000,36,steel_outer,16,106.9018,-13.2688
135.000,36,steel_outer,17,104.8957,-11.7076
135.000,36,steel_outer,18,102.8962,-10.0685
135.000,36,steel_outer,19,100.8815,-8.3718
135.000,36,steel_outer,20,98.8446,-6.6389
135.000,36,steel_outer,21,96.7882,-4.8903
135.000,36,steel_outer,22,94.7205,-3.1447
135.000,36,steel_outer,23,92.6530,-1.4175
135.000,36,steel_outer,24,90.5985,0.2793
135.000,36,steel_outer,25,88.5700,1.9378
135.000,36,steel_outer,26,86.5799,3.5531
135.000,36,steel_outer,27,84.6400,5.1232
135.000,36,steel_outer,28,82.7617,6.6474
135.000,36,steel_outer,29,80.9560,8.1262
135.000,36,steel_outer,30,79.2330,9.5609
135.000,36,steel_outer,31,77.6008,10.9538
135.000,36,steel_outer,32,76.0647,12.3096
135.000,36,steel_outer,33,74.6261,13.6368
135.000,36,steel_outer,34,73.2816,14.9497
135.000,36,steel_outer,35,72.0240,16.2704
135.000,36,steel_outer,36,70.8440,17.6312
135.000,36,steel_outer,37,69.7339,19.0775
135.000,36,steel_outer,38,68.6949,20.6728
135.000,36,steel_outer,39,67.7501,22.5039
135.000,36,steel_outer,40,66.9712,24.6824
135.000,36,steel_outer,41,66.5225,27.3140
135.000,36,steel_outer,42,66.6884,30.3864
135.000,36,steel_outer,43,67.7471,33.5977
135.000,36,steel_outer,44,69.6749,36.4272
135.000,36,steel_outer,45,72.1279,38.5492
135.000,36,steel_outer,46,74.7954,39.9923
135.000,36,steel_outer,47,77.5679,40.9202
135.000,36,steel_outer,48,80.4555,41.4625
135.000,36,steel_outer,49,83.4931,41.6858
135.000,36,steel_outer,50,86.6991,41.6134
135.000,36,steel_outer,51,90.0665,41.2466
135.000,36,steel_outer,52,93.5652,40.5777
135.000,36,steel_outer,53,97.1476,39.5988
135.000,36,steel_outer,54,100.7554,38.3067
135.000,36,steel_outer,55,104.3256,36.7057
135.000,36,steel_outer,56,107.7958,34.8095
135.000,36,steel_outer,57,111.1095,32.6413
135.000,36,steel_outer,58,114.2194,30.2327
135.000,36,steel_outer,59,117.0896,27.6212
135.000,36,steel_outer,60,119.6969,24.8475
135.000,36,steel_outer,61,122.0297,21.9520
135.000,36,steel_outer,62,124.0860,18.9727
135.000,36,steel_outer,63,125.8707,15.9431
135.000,36,Be_outer,0,129.2111,13.7236
135.000,36,Be_outer,1,130.5310,10.5489
135.000,36,Be_outer,2,131.5955,7.3924
135.000,36,Be_outer,3,132.4085,4.2658
135.000,36,Be_outer,4,132.9665,1.1723
135.000,36,Be_outer,5,133.2540,-1.9012
135.000,36,Be_outer,6,133.2294,-4.9962
135.000,36,Be_outer,7,132.7917,-8.1965
135.000,36,Be_outer,8,131.7036,-11.6164
135.000,36,Be_outer,9,129.4924,-15.2398
135.000,36,Be_outer,10,125.6853,-18.4540
135.000,36,Be_outer,11,120.8481,-20.1137
135.000,36,Be_outer,12,116.4211,-20.0672
135.000,36,Be_outer,13,112.9543,-19.1208
135.000,36,Be_outer,14,110.2031,-17.8328
135.000,36,Be_outer,15,107.8534,-16.3984
135.000,36,Be_outer,16,105.7050,-14.8712
135.000,36,Be_outer,17,103.6463,-13.2693
135.000,36,Be_outer,18,101.6176,-11.6064
135.000,36,Be_outer,19,99.5892,-9.8983
135.000,36,Be_outer,20,97.5488,-8.1623
135.000,36,Be_outer,21,95.4953,-6.4163
135.000,36,Be_outer,22,93.4343,-4.6762
135.000,36,Be_outer,23,91.3750,-2.9560
135.000,36,Be_outer,24,89.3287,-1.2659
135.000,36,Be_outer,25,87.3068,0.3872
135.000,36,Be_outer,26,85.3205,1.9994
135.000,36,Be_outer,27,83.3807,3.5694
135.000,36,Be_outer,28,81.4981,5.0972
135.000,36,Be_outer,29,79.6828,6.5839
135.000,36,Be_outer,30,77.9443,8.0314
135.000,36,Be_outer,31,76.2904,9.4429
135.000,36,Be_outer,32,74.7256,10.8240
135.000,36,Be_outer,33,73.2503,12.1852
135.000,36,Be_outer,34,71.8600,13.5429
135.000,36,Be_outer,35,70.5459,14.9231
135.000,36,Be_outer,36,69.2971,16.3634
135.000,36,Be_outer,37,68.1048,17.9172
135.000,36,Be_outer,38,66.9703,19.6599
135.000,36,Be_outer,39,65.9207,21.6957
135.000,36,Be_outer,40,65.0407,24.1596
135.000,36,Be_outer,41,64.5270,27.1809
135.000,36,Be_outer,42,64.7209,30.7452
135.000,36,Be_outer,43,65.9553,34.4863
135.000,36,Be_outer,44,68.1939,37.7713
135.000,36,Be_outer,45,71.0091,40.2071
135.000,36,Be_outer,46,74.0158,41.8341
135.000,36,Be_outer,47,77.0772,42.8591
135.000,36,Be_outer,48,80.2060,43.4469
135.000,36,Be_outer,49,83.4483,43.6853
135.000,36,Be_outer,50,86.8342,43.6089
135.000,36,Be_outer,51,90.3657,43.2241
135.000,36,Be_outer,52,94.0188,42.5256
135.000,36,Be_outer,53,97.7500,41.5060
135.000,36,Be_outer,54,101.5030,40.1617
135.000,36,Be_outer,55,105.2152,38.4970
135.000,36,Be_outer,56,108.8236,36.5252
135.000,36,Be_outer,57,112.2701,34.2702
135.000,36,Be_outer,58,115.5054,31.7644
135.000,36,Be_outer,59,118.4920,29.0472
135.000,36,Be_outer,60,121.2050,26.1611
135.000,36,Be_outer,61,123.6322,23.1487
135.000,36,Be_outer,62,125.7714,20.0495
135.000,36,Be_outer,63,127.6279,16.8982
135.000,36,FLiBe_outer,0,174.6847,34.5119
135.000,36,FLiBe_outer,1,177.3206,28.1765
135.000,36,FLiBe_outer,2,179.4967,21.7269
135.000,36,FLiBe_outer,3,181.2267,15.0722
135.000,36,FLiBe_outer,4,182.4906,8.0542
135.000,36,FLiBe_outer,5,183.2005,0.4111
135.000,36,FLiBe_outer,6,183.1212,-8.2835
135.000,36,FLiBe_outer,7,181.6786,-18.6878
135.000,36,FLiBe_outer,8,177.5324,-31.6092
135.000,36,FLiBe_outer,9,168.0261,-47.1012
135.000,36,FLiBe_outer,10,150.4933,-61.8656
135.000,36,FLiBe_outer,11,128.0223,-69.5964
135.000,36,FLiBe_outer,12,108.5507,-69.4439
135.000,36,FLiBe_outer,13,95.0809,-65.8171
135.000,36,FLiBe_outer,14,86.2133,-61.7019
135.000,36,FLiBe_outer,15,80.1660,-58.0326
135.000,36,FLiBe_outer,16,75.7864,-54.9321
135.000,36,FLiBe_outer,17,72.4103,-52.3117
135.000,36,FLiBe_outer,18,69.6528,-50.0544
135.000,36,FLiBe_outer,19,67.2825,-48.0595
135.000,36,FLiBe_outer,20,65.1543,-46.2490
135.000,36,FLiBe_outer,21,63.1742,-44.5652
135.000,36,FLiBe_outer,22,61.2794,-42.9654
135.000,36,FLiBe_outer,23,59.4263,-41.4174
135.000,36,FLiBe_outer,24,57.5833,-39.8953
135.000,36,FLiBe_outer,25,55.7264,-38.3772
135.000,36,FLiBe_outer,26,53.8368,-36.8436
135.000,36,FLiBe_outer,27,51.9003,-35.2762
135.000,36,FLiBe_outer,28,49.9071,-33.6586
135.000,36,FLiBe_outer,29,47.8511,-31.9744
135.000,36,FLiBe_outer,30,45.7280,-30.2061
135.000,36,FLiBe_outer,31,43.5312,-28.3306
135.000,36,FLiBe_outer,32,41.2482,-26.3144
135.000,36,FLiBe_outer,33,38.8562,-24.1060
135.000,36,FLiBe_outer,34,36.3201,-21.6269
135.000,36,FLiBe_outer,35,33.5936,-18.7597
135.000,36,FLiBe_outer,36,30.6264,-15.3317
135.000,36,FLiBe_outer,37,27.3791,-11.0899
135.000,36,FLiBe_outer,38,23.8570,-5.6628
135.000,36,FLiBe_outer,39,20.1855,1.4895
135.000,36,FLiBe_outer,40,16.7789,11.0904
135.000,36,FLiBe_outer,41,14.6379,23.8520
135.000,36,FLiBe_outer,42,15.5323,39.7165
135.000,36,FLiBe_outer,43,21.1615,56.7013
135.000,36,FLiBe_outer,44,31.1686,71.3738
135.000,36,FLiBe_outer,45,43.0399,81.6525
135.000,36,FLiBe_outer,46,54.5270,87.8795
135.000,36,FLiBe_outer,47,64.8113,91.3312
135.000,36,FLiBe_outer,48,73.9669,93.0561
135.000,36,FLiBe_outer,49,82.3281,93.6728
135.000,36,FLiBe_outer,50,90.2117,93.4947
135.000,36,FLiBe_outer,51,97.8439,92.6617
135.000,36,FLiBe_outer,52,105.3578,91.2229
135.000,36,FLiBe_outer,53,112.8089,89.1844
135.000,36,FLiBe_outer,54,120.1917,86.5377
135.000,36,FLiBe_outer,55,127.4552,83.2784
135.000,36,FLiBe_outer,56,134.5181,79.4181
135.000,36,FLiBe_outer,57,141.2838,74.9912
135.000,36,FLiBe_outer,58,147.6558,70.0575
135.000,36,FLiBe_outer,59,153.5504,64.6970
135.000,36,FLiBe_outer,60,158.9072,59.0023
135.000,36,FLiBe_outer,61,163.6939,53.0663
135.000,36,FLiBe_outer,62,167.9051,46.9707
135.000,36,FLiBe_outer,63,171.5583,40.7755
135.000,36,shield_outer,0,211.0636,51.1425
135.000,36,shield_outer,1,214.7523,42.2785
135.000,36,shield_outer,2,217.8176,33.1945
135.000,36,shield_outer,3,220.2813,23.7173
135.000,36,shield_outer,4,222.1099,13.5598
135.000,36,shield_outer,5,223.1577,2.2609
135.000,36,shield_outer,6,223.0347,-10.9134
135.000,36,shield_outer,7,220.7882,-27.0808
135.000,36,shield_outer,8,214.1956,-47.6035
135.000,36,shield_outer,9,198.8531,-72.5904
135.000,36,shield_outer,10,170.3398,-96.5948
135.000,36,shield_outer,11,133.7616,-109.1825
135.000,36,shield_outer,12,102.2543,-108.9452
135.000,36,shield_outer,13,80.7822,-103.1741
135.000,36,shield_outer,14,67.0214,-96.7971
135.000,36,shield_outer,15,58.0160,-91.3400
135.000,36,shield_outer,16,51.8515,-86.9808
135.000,36,shield_outer,17,47.4214,-83.5456
135.000,36,shield_outer,18,44.0809,-80.8128
135.000,36,shield_outer,19,41.4371,-78.5884
135.000,36,shield_outer,20,39.2387,-76.7183
135.000,36,shield_outer,21,37.3173,-75.0844
135.000,36,shield_outer,22,35.5555,-73.5968
135.000,36,shield_outer,23,33.8673,-72.1865
135.000,36,shield_outer,24,32.1870,-70.7988
135.000,36,shield_outer,25,30.4622,-69.3888
135.000,36,shield_outer,26,28.6499,-67.9179
135.000,36,shield_outer,27,26.7159,-66.3527
135.000,36,shield_outer,28,24.6343,-64.6632
135.000,36,shield_outer,29,22.3858,-62.8211
135.000,36,shield_outer,30,19.9549,-60.7961
135.000,36,shield_outer,31,17.3238,-58.5494
135.000,36,shield_outer,32,14.4663,-56.0251
135.000,36,shield_outer,33,11.3409,-53.1389
135.000,36,shield_outer,34,7.8881,-49.7627
135.000,36,shield_outer,35,4.0318,-45.7059
135.000,36,shield_outer,36,-0.3102,-40.6877
135.000,36,shield_outer,37,-5.2015,-34.2957
135.000,36,shield_outer,38,-10.6337,-25.9209
135.000,36,shield_outer,39,-16.4027,-14.6754
135.000,36,shield_outer,40,-21.8305,0.6351
135.000,36,shield_outer,41,-25.2734,21.1890
135.000,36,shield_outer,42,-23.8186,46.8935
135.000,36,shield_outer,43,-14.6736,74.4734
135.000,36,shield_outer,44,1.5483,98.2557
135.000,36,shield_outer,45,20.6645,114.8088
135.000,36,shield_outer,46,38.9359,124.7159
135.000,36,shield_outer,47,54.9985,130.1089
135.000,36,shield_outer,48,68.9756,132.7435
135.000,36,shield_outer,49,81.4319,133.6627
135.000,36,shield_outer,50,92.9137,133.4033
135.000,36,shield_outer,51,103.8264,132.2118
135.000,36,shield_outer,52,114.4290,130.1807
135.000,36,shield_outer,53,124.8561,127.3271
135.000,36,shield_outer,54,135.1427,123.6385
135.000,36,shield_outer,55,145.2472,119.1036
135.000,36,shield_outer,56,155.0736,113.7323
135.000,36,shield_outer,57,164.4948,107.5681
135.000,36,shield_outer,58,173.3760,100.6919
135.000,36,shield_outer,59,181.5971,93.2168
135.000,36,shield_outer,60,189.0690,85.2752
135.000,36,shield_outer,61,195.7432,77.0004
135.000,36,shield_outer,62,201.6121,68.5076
135.000,36,shield_outer,63,206.7025,59.8774
135.000,36,coil_outer,0,224.7057,57.3790
135.000,36,coil_outer,1,228.7892,47.5668
135.000,36,coil_outer,2,232.1880,37.4949
135.000,36,coil_outer,3,234.9268,26.9592
135.000,36,coil_outer,4,236.9672,15.6244
135.000,36,coil_outer,5,238.1416,2.9546
135.000,36,coil_outer,6,238.0022,-11.8996
135.000,36,coil_outer,7,235.4543,-30.2281
135.000,36,coil_outer,8,227.9442,-53.6013
135.000,36,coil_outer,9,210.4132,-82.1488
135.000,36,coil_outer,10,177.7822,-109.6183
135.000,36,coil_outer,11,135.9138,-124.0273
135.000,36,coil_outer,12,99.8932,-123.7582
135.000,36,coil_outer,13,75.4202,-117.1830
135.000,36,coil_outer,14,59.8245,-109.9578
135.000,36,coil_outer,15,49.7098,-103.8302
135.000,36,coil_outer,16,42.8759,-98.9991
135.000,36,coil_outer,17,38.0506,-95.2584
135.000,36,coil_outer,18,34.4915,-92.3472
135.000,36,coil_outer,19,31.7451,-90.0367
135.000,36,coil_outer,20,29.5203,-88.1444
135.000,36,coil_outer,21,27.6210,-86.5291
135.000,36,coil_outer,22,25.9090,-85.0836
135.000,36,coil_outer,23,24.2827,-83.7249
135.000,36,coil_outer,24,22.6634,-82.3876
135.000,36,coil_outer,25,20.9881,-81.0181
135.000,36,coil_outer,26,19.2047,-79.5708
135.000,36,coil_outer,27,17.2718,-78.0064
135.000,36,coil_outer,28,15.1570,-76.2899
135.000,36,coil_outer,29,12.8363,-74.3886
135.000,36,coil_outer,30,10.2900,-72.2674
135.000,36,coil_outer,31,7.4961,-69.8814
135.000,36,coil_outer,32,4.4231,-67.1667
135.000,36,coil_outer,33,1.0227,-64.0262
135.000,36,coil_outer,34,-2.7739,-60.3136
135.000,36,coil_outer,35,-7.0539,-55.8107
135.000,36,coil_outer,36,-11.9114,-50.1962
135.000,36,coil_outer,37,-17.4192,-42.9978
135.000,36,coil_outer,38,-23.5677,-33.5177
135.000,36,coil_outer,39,-30.1233,-20.7372
135.000,36,coil_outer,40,-36.3090,-3.2856
135.000,36,coil_outer,41,-40.2401,20.1903
135.000,36,coil_outer,42,-38.5751,49.5848
135.000,36,coil_outer,43,-28.1118,81.1379
135.000,36,coil_outer,44,-9.5593,108.3365
135.000,36,coil_outer,45,12.2737,127.2424
135.000,36,coil_outer,46,33.0893,138.5296
135.000,36,coil_outer,47,51.3187,144.6505
135.000,36,coil_outer,48,67.1038,147.6262
135.000,36,coil_outer,49,81.0958,148.6590
135.000,36,coil_outer,50,93.9270,148.3690
135.000,36,coil_outer,51,106.0699,147.0430
135.000,36,coil_outer,52,117.8307,144.7899
135.000,36,coil_outer,53,129.3737,141.6306
135.000,36,coil_outer,54,140.7493,137.5513
135.000,36,coil_outer,55,151.9192,132.5381
135.000,36,coil_outer,56,162.7820,126.6002
135.000,36,coil_outer,57,173.1989,119.7844
135.000,36,coil_outer,58,183.0211,112.1798
135.000,36,coil_outer,59,192.1146,103.9118
135.000,36,coil_outer,60,200.3797,95.1275
135.000,36,coil_outer,61,207.7617,85.9756
135.000,36,coil_outer,62,214.2522,76.5840
135.000,36,coil_outer,63,219.8816,67.0406
