ID,nfp,aspect,max_elong,qs_log10,iota,e_geom,eps_eff_gap25,R0,a,reason
59509,3,6.6666832285,1.5448806107,-2.1564404209,0.1,0.29138375653598336,0.5477379938367402,0.9999966591027835,0.1746464124110016,low_elong
802624,3,4.0000178697,1.7821469918,-2.1310609588,0.1,0.29219206818321164,0.5926407849994817,1.070133865982321,0.2671544348614892,random
932746,3,5.0001404638,1.5309634725,-2.121856902,0.1,0.30201714191039847,0.6006742278246704,1.031923073442981,0.22472949321916336,low_elong
399015,3,9.9999997073,1.5441321166,-3.0746607088,0.1,0.3382162699698749,0.6128360849899332,1.037738736062348,0.1374138534082155,low_elong
218219,3,9.9999997657,1.5618350475,-3.31755271,0.1,0.36351365892424564,0.6473703786406925,1.028217640010427,0.12641433143016273,low_elong
227466,3,10.0000001752,1.5706325591,-3.6710673909,0.1,0.36466400815539685,0.6211536885185572,1.026720861641544,0.12561251296749343,low_elong
59886,3,10.0000025994,1.5411753188,-2.8463257912,0.1,0.36797071589688607,0.651337080101859,1.016400870486638,0.1216339489709733,low_elong
802943,3,10.0000005355,1.5641010316,-3.5438769949,0.1,0.37035633450141286,0.6339913221316031,1.02435985449447,0.12563659951777506,low_elong
645023,3,10.0000009419,1.542884558,-3.5754763766,0.1,0.37047852974059675,0.6339343089561874,1.024873546823816,0.12520520554404813,low_elong
803223,3,9.9999996477,1.576146799,-3.6747138707,0.1,0.37111465128626936,0.615800305693234,1.026630508498974,0.13126404622601057,low_elong
803097,3,9.9999999722,1.5318440795,-3.6982242236,0.1,0.3717862402061935,0.6195398700869592,1.025757328611459,0.12784644560956815,low_elong
658722,3,9.9999896938,1.5338754011,-3.0939067569,0.1,0.37287890794544565,0.6369348708364081,1.023625402990981,0.12803368996334713,low_elong
645380,3,10.0000006361,1.548315703,-3.6092495758,0.1,0.3754602816813708,0.6289450939365746,1.025015791707156,0.12451421357581866,low_elong
644960,3,9.999999686,1.5565951131,-3.5317053681,0.1,0.3770644630148398,0.6388544885836274,1.023883434605366,0.1249193929864687,low_elong
218485,3,10.0000006003,1.563552792,-3.7949492614,0.1,0.3777899595161778,0.6237343485531723,1.023525287703816,0.12474987320907499,low_elong
50317,3,10.0000000819,1.5791555587,-3.3641529925,0.1,0.3789833478413009,0.6216737234269006,1.03271403414223,0.13431492801363576,low_elong
50569,3,9.9999995912,1.5595540467,-3.6871788749,0.1,0.379566502808633,0.6217777342113205,1.02417974949198,0.13089094394804895,low_elong
1081578,3,10.0000002812,1.5255133184,-3.6563632714,0.1,0.379829443097125,0.6356640493079603,1.024269232081666,0.1255163844931811,low_elong
923602,3,10.0000002812,1.5255133184,-3.6563632714,0.1,0.379829443097125,0.6356640493079603,1.024269232081666,0.1255163844931811,low_elong
803020,3,9.9999998183,1.5439878958,-3.5578765937,0.1,0.3812477327602468,0.630587289463804,1.026888149203933,0.12506801924535083,low_elong
803272,3,9.9999998445,1.5430849992,-3.8044193985,0.1,0.38164434396112945,0.6284026413044779,1.024395575510484,0.1253012430715576,low_elong
644939,3,10.0000001337,1.556830493,-3.3881892285,0.1,0.3832558538963466,0.6391044034232337,1.026517347435337,0.12306624252913856,low_elong
812176,3,9.9999999845,1.5339634411,-3.4356885731,0.1,0.38553036981279504,0.6475906112420791,1.026965664309985,0.12436107231609955,low_elong
218429,3,10.000000029,1.5743015127,-3.7022614858,0.1,0.3862179069449822,0.6317414592865888,1.024288959182239,0.12332165679126678,low_elong
59529,3,10.0000013495,1.5812148176,-3.3578808577,0.1,0.3880463533407817,0.6324795934303484,1.028181475796042,0.12723222171077792,low_elong
227375,3,10.0000001761,1.5812610313,-3.6402940482,0.1,0.3882822706478735,0.6486100507709626,1.023110924651388,0.12248346234612556,low_elong
50828,3,9.9999952129,1.5717755029,-2.6719294296,0.1,0.38855356187613427,0.6604572724678343,1.011570194786708,0.1256550852945887,low_elong
227417,3,10.000000146,1.5482639567,-3.6353361439,0.1,0.39022379714225847,0.6482984733403647,1.025062096483727,0.12503689103305754,low_elong
1090790,3,9.9999995954,1.550737865,-3.5237289362,0.1,0.3906522470986826,0.6482764021632399,1.02861631769425,0.1244577843416601,low_elong
654606,3,10.0000005314,1.5785938554,-3.7021592691,0.1,0.3906538830608289,0.6388694348307377,1.023404653381485,0.12246875030797216,low_elong
932814,3,10.0000002688,1.576175787,-3.5483920736,0.1,0.3919815560167622,0.6490315799539583,1.028456309622735,0.12342452636150997,low_elong
932758,3,9.9999999568,1.5571805837,-3.628570184,0.1,0.39477562895952795,0.6533339818260482,1.0233288539884,0.12249591156998207,low_elong
1090734,3,10.0000000522,1.5698379707,-3.6218211874,0.1,0.3947791424312651,0.6548090943441763,1.023061905089857,0.1220927301504644,low_elong
816789,3,10.0000000569,1.5589313605,-3.651822006,0.1,0.39544701683019323,0.642311102593433,1.02479571025253,0.12359656393313961,low_elong
802845,3,10.0000000798,1.5728955812,-3.282675212,0.1,0.3970991906463913,0.6505980027743808,1.028975932684831,0.1254078145424663,low_elong
41014,3,9.9999978193,2.0304055121,-2.8178799179,0.1,0.39830861199484713,0.6195831761214522,1.026307440833617,0.13388722367128336,random
802579,3,10.0000010247,1.5479270497,-2.7011961959,0.1,0.412247342749286,0.6788354370500355,1.017690756676681,0.12576598587372184,low_elong
1081095,3,10.0000000178,1.5731798269,-2.7060717069,0.1,0.4318158717206131,0.6918203236036078,1.018431878857662,0.12780761786159972,low_elong
923119,3,10.0000000178,1.5731798269,-2.7060717069,0.1,0.4318158717206131,0.6918203236036078,1.018431878857662,0.12780761786159972,low_elong
