ID,class,nfp,qs_error,aspect_ratio,nc_per_hp,total_coil_length,min_coil2surface_dist
252211,QA,5,-1.9820,10.000,1,50.001,0.2013
256838,QA,5,-1.9319,10.000,1,67.500,0.1835
259064,QA,5,-1.7043,10.000,1,72.500,0.2032
253153,QA,5,-1.0607,3.335,1,45.000,0.1108
259106,QA,5,-1.6600,10.001,1,72.499,0.2006
257182,QA,5,-1.5018,6.670,1,67.553,0.1725
251430,QA,5,-1.6742,4.000,1,62.505,0.1587
2155439,QH,2,-3.8485,12.000,4,104.000,0.3207
2290895,QH,2,-3.4558,12.000,5,82.000,0.2709
2297082,QH,2,-3.6751,12.000,5,110.000,0.3435
2299426,QH,2,-3.5020,12.000,5,88.000,0.2535
2324457,QH,2,-3.4881,8.000,4,102.400,0.3419
2326591,QH,2,-3.4612,8.000,5,110.000,0.2572
2324337,QH,2,-2.9023,8.000,4,78.400,0.2693
1438188,QH,2,-3.0975,12.000,4,72.000,0.2299
2431074,QH,2,-3.2631,12.000,5,80.000,0.2130
1862130,QH,2,-3.1929,12.000,5,76.000,0.2278
2191634,QH,2,-2.8611,8.000,4,86.400,0.2493
2148208,QH,2,-2.7982,12.000,2,64.000,0.2981
2147970,QH,2,-2.6620,12.000,2,62.400,0.4193
2331080,QH,2,-2.4154,8.000,2,56.000,0.3064
2370233,QH,2,-2.4076,6.000,3,105.600,0.2515
2332383,QH,2,-2.7225,8.000,2,64.000,0.3354
2331975,QH,2,-2.1092,8.000,3,68.400,0.2989
2362117,QH,2,-2.1344,6.000,5,96.000,0.2679
2359941,QH,2,-2.0364,6.000,4,81.600,0.2675
2334466,QH,2,-2.0539,8.000,3,78.000,0.3532
2300307,QH,2,-2.0087,12.000,2,50.400,0.3132
2183075,QH,2,-1.7400,8.000,2,59.203,0.3044
1509160,QH,2,-1.6320,6.000,4,64.002,0.1672
2364205,QH,2,-1.6595,6.000,2,52.803,0.2882
2229465,QH,2,-1.7701,6.000,5,92.004,0.2302
2373150,QH,2,-1.4324,6.000,5,118.016,0.2043
1651816,QH,2,-1.3058,6.000,4,67.218,0.1509
1586915,QH,3,-4.0181,12.000,4,91.200,0.2235
1587695,QH,3,-3.4655,12.000,4,108.000,0.2298
1151583,QH,3,-3.3705,10.000,4,95.000,0.1704
2473744,QH,3,-3.4844,8.000,5,108.000,0.1859
1334841,QH,3,-3.7195,8.000,4,117.600,0.2232
1871778,QH,3,-3.0768,12.000,4,76.800,0.2042
2477003,QH,3,-2.9237,8.000,4,93.600,0.2380
1515524,QH,3,-3.2495,6.000,4,96.000,0.1861
1484140,QH,3,-3.1216,8.000,3,82.800,0.1835
1767030,QH,3,-2.9096,8.000,4,100.800,0.1629
1943031,QH,3,-3.2306,6.000,4,100.800,0.2013
1298464,QH,3,-2.7240,12.000,4,67.200,0.1575
2478703,QH,3,-2.5559,8.000,4,98.400,0.1663
1908382,QH,3,-2.5647,8.000,4,93.600,0.1500
2160228,QH,3,-2.8061,12.000,3,61.200,0.1638
1805154,QH,3,-2.1094,6.000,3,88.211,0.2512
1801583,QH,3,-2.2717,6.000,4,79.200,0.1500
1947079,QH,3,-2.1951,6.000,3,77.400,0.1972
1910927,QH,3,-1.8411,8.000,3,73.788,0.1983
1626754,QH,3,-1.8377,8.001,3,63.003,0.1500
1150659,QH,3,-1.7737,9.997,3,82.522,0.2505
1883980,QH,4,-3.8999,12.000,3,98.400,0.2658
1328582,QH,4,-3.3836,8.000,4,115.200,0.1500
2486769,QH,4,-3.6523,8.000,4,118.400,0.2150
1602619,QH,4,-3.4850,12.000,2,78.400,0.2445
1737668,QH,4,-3.7283,12.000,5,112.000,0.1756
1295366,QH,4,-2.9249,12.000,3,79.200,0.1730
1809808,QH,4,-3.1104,6.000,4,118.400,0.1500
2451281,QH,4,-3.3284,12.000,4,99.200,0.1970
1776535,QH,4,-3.1889,8.000,3,105.600,0.1520
1741823,QH,4,-3.2279,12.000,3,79.200,0.1715
1329537,QH,4,-3.3313,8.000,3,93.600,0.2099
2492217,QH,4,-2.9099,8.000,2,78.400,0.1809
1775068,QH,4,-3.3008,8.000,4,108.800,0.1809
2519810,QH,4,-2.7932,6.000,5,112.000,0.1500
1923154,QH,4,-2.6813,8.000,2,73.600,0.1892
1777914,QH,4,-2.7445,8.000,3,88.800,0.1675
1956563,QH,4,-2.4586,6.000,3,91.200,0.1558
1954618,QH,4,-2.6023,6.000,3,84.000,0.1500
1887045,QH,4,-2.6998,12.000,2,59.200,0.1638
1675157,QH,4,-2.1407,6.000,2,78.401,0.1907
2492423,QH,4,-2.0872,8.000,2,57.600,0.1700
1776623,QH,4,-1.9766,8.002,3,60.001,0.1500
1638462,QH,4,-1.9885,8.000,2,68.801,0.1500
1952399,QH,4,-1.7339,6.000,4,102.405,0.1500
1639488,QH,4,-1.6812,8.001,2,62.414,0.1499
1673520,QH,4,-1.7704,6.000,2,56.005,0.1500
1959020,QH,4,-1.7995,6.000,2,68.801,0.2065
1332197,QH,4,-1.5898,8.000,2,59.202,0.1500
1673497,QH,4,-1.4578,6.000,2,51.203,0.1499
1606492,QH,5,-3.7940,12.000,4,116.000,0.1533
1750013,QH,5,-3.4935,12.000,3,120.000,0.1756
1750088,QH,5,-3.3649,12.000,3,87.000,0.1500
1609168,QH,5,-3.4150,12.000,3,114.000,0.1639
2497086,QH,5,-2.9366,8.000,3,111.000,0.1518
1749479,QH,5,-3.3341,12.000,3,108.000,0.1653
1749584,QH,5,-2.9371,12.000,3,87.000,0.1500
2497905,QH,5,-2.9245,8.000,3,105.000,0.1500
1606289,QH,5,-3.0423,12.000,4,104.000,0.1500
2497538,QH,5,-2.7144,8.000,3,93.000,0.1584
1819794,QH,5,-2.3772,6.000,4,104.000,0.1500
2532270,QH,5,-1.9771,6.000,3,87.000,0.1500
2530913,QH,5,-1.9551,6.000,4,88.000,0.1500
2532832,QH,5,-2.3274,6.000,3,111.000,0.1500
1967104,QH,5,-2.2007,6.000,2,100.001,0.1568
2534726,QH,5,-1.9690,6.000,2,84.000,0.1500
1927017,QH,5,-2.0734,8.000,3,93.001,0.1500
2657809,QH,5,-1.6314,6.000,2,64.000,0.1500
1961367,QH,5,-1.8555,6.001,4,116.000,0.1500
2658231,QH,5,-1.7234,6.000,2,64.000,0.1500
2499504,QH,5,-1.5199,7.999,2,72.027,0.1500
2531914,QH,5,-1.6648,6.001,3,81.002,0.1500
2535257,QH,5,-1.5495,6.001,2,62.001,0.1500
2010184,QH,6,-2.8181,12.000,3,100.800,0.1500
2004997,QH,6,-2.8651,12.000,5,120.000,0.1500
2005171,QH,6,-2.9302,12.000,5,120.000,0.1500
2007090,QH,6,-2.8560,12.000,4,110.400,0.1500
2044357,QH,6,-2.8143,8.000,3,111.600,0.1500
2012110,QH,6,-2.9363,12.000,2,84.000,0.1500
2012132,QH,6,-2.8114,12.000,2,91.200,0.1574
2045155,QH,6,-2.5667,8.000,3,111.600,0.1500
2044336,QH,6,-2.3640,8.000,3,104.400,0.1500
2012083,QH,6,-2.5180,12.000,2,76.800,0.1500
2010508,QH,6,-2.6743,12.000,3,100.800,0.1500
2012084,QH,6,-2.3791,12.000,2,76.800,0.1500
2006930,QH,6,-2.1476,12.000,4,86.400,0.1500
2009661,QH,6,-2.2114,12.000,3,79.201,0.1500
2009827,QH,6,-2.3207,12.000,3,82.800,0.1500
2758415,QH,6,-1.2955,7.999,1,48.002,0.1729
2044114,QH,6,-1.7949,8.000,3,75.600,0.1500
2758411,QH,6,-1.2964,7.999,1,48.002,0.1730
2047634,QH,6,-1.6487,8.004,2,67.203,0.1500
