ID,class,nfp,ok,passed,C,S_phi,boundary_flux_rms,boundary_flux_max,aspect
156306,QA,1,1,1,0.976689258526807,0.9303419561678634,0.0006313535358085659,0.002283249824430365,5.0000000128
124279,QA,1,1,1,0.9567164652280263,0.8724358535805916,0.00046920209709716744,0.0013306866532939287,10.0000000207
153099,QA,1,1,1,0.8838284575063925,0.6800660716615952,0.0013326810281499935,0.004247079694340227,6.6666666716
125597,QA,1,1,1,0.9391994410013985,0.8237106655657922,0.0008384917232639106,0.0028754326724863316,5.0000000787
156515,QA,1,1,1,0.9759614409793834,0.9282876809342213,0.0003760518689613113,0.0009431418051349728,6.6666667232
164776,QA,1,1,1,0.9176406053511424,0.7671133809531827,0.001541779770417467,0.00812736487996306,5.0000008116
114817,QA,1,1,1,0.9560720831362713,0.8712941742653346,0.0007996271226680445,0.003553608335432086,4.9999998847
313344,QA,1,1,1,0.978563079275019,0.9358782173274569,0.001661276076962304,0.004959927108547466,4.9999998074
118128,QA,1,1,1,0.8823246727753985,0.6759825584428039,0.0019705449594252843,0.009328418194855219,5.0000001691
151772,QA,1,1,1,0.9287503280674482,0.7992680186849364,0.00145095876837277,0.006005270087712461,3.3333322885
152625,QA,1,1,1,0.9065594406220956,0.7407326702496613,0.0014596280471800476,0.0061816787431040274,3.999999951
127727,QA,1,1,1,0.8571110904183846,0.6191968172643567,0.01023051114875169,0.07241111392441646,3.3333329241
158408,QA,1,1,0,,,0.11279124249566512,0.6257409731047162,3.3333336911
162461,QA,1,1,1,0.8585895176785894,0.6223724906191967,0.01024656668973975,0.06701418274702675,3.3333342123
133418,QA,1,1,1,0.9652399310501679,0.897387254252203,0.0075731970348465695,0.023316255119356772,3.3333319491
126179,QA,1,1,1,0.9077936006230533,0.74084047856052,0.04878608471921458,0.26797273653080544,3.9999960772
146760,QA,1,1,1,0.8188890418764535,0.5345106433493982,0.045002719185994404,0.2981837032188785,3.3333123535
145760,QA,1,1,0,,,0.12504501186131922,0.6486323339947533,2.8575886212
145585,QA,1,1,0,,,0.15746842932318633,0.7365975645980776,2.8571099331
158402,QA,1,1,0,,,0.14719111105074223,0.6592175419731823,2.8573189923
125152,QA,1,1,1,0.9336105385363034,0.8104525211480174,0.05151610320719089,0.26364191850317065,2.8575868774
896488,QA,2,1,1,0.9319000699439859,0.8051690272675109,0.0008728268009672836,0.0036437411775039263,3.3333337796
772434,QA,2,1,1,0.9854524751040109,0.9561385919525014,0.00043411537959053885,0.0019585898951556308,3.3333333053
616837,QA,2,1,1,0.9581378073146025,0.876859595689057,0.0005249356144537134,0.0019019363612658034,4.0000000631
631226,QA,2,1,1,0.9423218850868654,0.8317771591852745,0.0005732498980665295,0.0014395854728981887,10.0000000414
764088,QA,2,1,1,0.9793504597968236,0.9380900652942088,0.0003157420908047681,0.0012570980941150323,4.9999998559
1044457,QA,2,1,1,0.9351255110654078,0.8121291214371362,0.0005825537840933756,0.0016213381599691657,9.9999993776
606775,QA,2,1,1,0.9577714102261389,0.8756364542364587,0.00047174126830524767,0.001326349391266904,9.9999993666
897002,QA,2,1,1,0.9256201581731399,0.7857506351774046,0.0012592019392229812,0.00405644984604842,10.000056835
889059,QA,2,1,1,0.8824230777154681,0.6744640702248068,0.0060264706816373715,0.027649270957712007,5.0007584694
202213,QA,2,1,1,0.7510081635748025,0.3842288659842118,0.004124166470678565,0.01939876203654095,3.9999515195
1053839,QA,2,1,1,0.9397802585094608,0.8253164220124198,0.0007135601701467401,0.0023645477052733183,4.9999999304
896005,QA,2,1,1,0.9360215798883503,0.8163478647320372,0.0009943404918017417,0.004095014319997207,3.3333331883
187284,QA,2,1,1,0.9941974364134949,0.9824150026682306,0.002548108001297762,0.013576300091655313,2.8571426726
20933,QA,2,1,1,0.9727388465882846,0.9191013680131965,0.0006500790993532658,0.0024637634629562375,5.0000036727
1053994,QA,2,1,1,0.9400368698699438,0.8270783793124763,0.0008409008105913626,0.0032921767846734507,3.9999966643
179220,QA,2,1,1,0.9820532629398061,0.9459102610522456,0.0022248643577830176,0.011294593544120773,2.8571410454
612308,QA,2,1,0,,,0.1564783470716267,0.9747062705865442,4.000264102
608417,QA,2,1,1,0.9389390096915398,0.8247067032910111,0.0009034166964329339,0.003524624747197266,3.3333329333
11290,QA,2,1,1,0.9755248347471378,0.9274840007548819,0.0007942448072375937,0.0034769589826218715,2.8571231288
